Код;Адрес МКД;Документ,подтверждающий признание МКД аварийным, номер;Документ,подтверждающий признание МКД аварийным, дата;Планируемая дата окончания переселения;Планируемая дата сноса/реконструкции  МКД;Число жителей всего, чел;Число жителей планируемых к переселению, чел;Общая площадь жилых помещений МКД, кв м;Количество расселяемых жилых помещений, ед;Расселяемая площадь жилых помещений, кв м
1;п Совхозный ул Железнодорожная д.2;Акт обследования межведомственной комиссии № 13;2003-12-15;4.2015;2.2016;21;21;249.1000;7;249.1000
2;п Студенческий ул Садовая д.3;Акт обследования межведомственной комиссии № 3;2003-12-15;4.2015;2.2016;17;17;96.0000;3;96.0000
3;п Студенческий ул Садовая д.7;Акт обследования межведомственной комиссии № 17;2003-12-15;4.2015;2.2016;4;4;102.9000;3;102.9000
4;рп Белоярский ул Клубная д.2;Акт обследования межведомственной комиссии № 37;2003-12-17;4.2015;2.2016;67;67;677.8000;21;677.8000
5;рп Белоярский ул Мира д.11;Акт обследования межведомственной комиссии № 28;2003-12-16;4.2015;2.2016;33;33;542.1000;10;542.1000
6;с Камышево ул 30 лет Победы д.5;Акт обследования межведомственной комиссии № 2;2003-12-11;4.2015;2.2016;11;11;269.3000;6;269.3000
7;с Камышево ул 30 лет Победы д.7;Акт обследования межведомственной комиссии № 1;2003-12-11;4.2015;2.2016;19;19;435.0000;8;435.0000
8;с Камышево ул 30 лет Победы д.8;Акт обследования межведомственной комиссии № 5;2003-12-11;4.2015;2.2016;24;24;375.3000;10;375.3000
9;с Камышево ул Роща д.1;Акт обследования межведомственной комиссии № 4;2003-12-11;4.2015;2.2016;6;6;79.9000;2;79.9000
10;с Камышево ул Роща д.7;Акт обследования межведомственной комиссии № 3;2003-12-11;4.2015;2.2016;3;3;114.4000;2;87.5000
11;с Кочневское ул Ленина д.96;Акт обследования сежведомственной комиссии № 12;2003-12-15;4.2015;2.2016;7;7;86.7000;2;86.7000
12;с Черноусово ул Центральная д.9;Акт обследования межведомственной комиссии № 6;2003-12-11;4.2015;2.2016;30;30;599.2000;12;599.2000
13;рп Бисерть ул Мира д.10;Акт и заключение межведомственной комиссии № 5;2008-12-19;4.2015;2.2016;29;29;382.3000;9;382.3000
14;рп Бисерть ул Мира д.11;Акт и заключение межведомственной комиссии № 6;2008-12-19;4.2015;2.2016;20;20;420.8000;6;306.6000
15;рп Бисерть ул Мира д.9;Акт и заключение межведомственной комиссии № 4;2008-12-19;4.2015;2.2016;11;11;358.5000;7;358.5000
16;рп Бисерть ул Революции д.15;Акт и заключение межведомственной комиссии № 7;2008-12-19;4.2015;2.2016;9;9;511.0000;4;250.0000
17;рп Бисерть ул Тимирязева д.25;Акт и заключение межведомственной комиссии № 9;2008-12-19;4.2015;2.2016;19;19;387.2000;9;387.2000
18;рп Бисерть ул Тимирязева д.27;Акт и заключение межведомтсвенной комиссии № 10;2008-12-19;4.2015;2.2016;22;22;420.4000;10;420.4000
19;рп Бисерть ул Тимирязева д.29;Акт и заключение межведомственной комиссии № 11;2008-12-19;4.2015;2.2016;18;18;449.6000;8;389.8000
20;п Белоречка ул Горького д.12;Акт обследования № 1;2008-03-17;4.2015;2.2016;9;9;228.4000;7;171.3000
21;п Белоречка ул Калинина д.3;Акт обследования № 4;2008-03-17;4.2015;3.2016;3;3;108.8000;3;81.6000
22;п Белоречка ул Советская д.1;Акт обследования № 2;2008-03-17;4.2015;2.2016;10;10;512.3000;8;455.4000
23;п Белоречка ул Советская д.2;Акт обследования № 3;2008-03-17;4.2015;2.2016;13;13;541.7000;7;473.1000
24;п Половинный ул Набережная д.1;Акт обследования № 6;2009-04-16;4.2015;3.2016;1;1;100.4000;1;50.2000
25;п Кедровое ул 40-летия Октября д.10;Заключение межведомственной комиссии № 3;2010-08-15;4.2015;2.2016;31;31;585.3000;12;585.3000
26;п Кедровое ул 40-летия Октября д.8;Заключение межведомственной комиссии № 12;2010-08-15;4.2015;2.2016;28;28;614.7000;12;614.7000
27;п Кедровое ул Классона д.6;Заключение межведомственной комиссии № 15;2010-08-15;4.2015;1.2016;41;41;752.0000;22;752.0000
28;п Кедровое ул Северная д.11;Заключение межведомственной комиссии № 5;2010-08-15;4.2015;2.2016;19;19;317.7000;11;317.7000
29;п Кедровое ул Школьников д.3;Заключение межведомственной комиссии № 11;2010-08-15;4.2015;2.2016;34;34;646.7000;16;646.7000
30;г Верхотурье ул Карла Маркса д.16;Акт и заключение межведомственной комиссии № 1;2010-05-12;4.2015;4.2016;1;1;125.4000;1;28.9000
31;п Привокзальный ул Детская д.10;Акт и заключение межведомственной комиссии № 36;2010-10-21;4.2015;4.2015;4;4;220.0000;2;54.0000
32;п Привокзальный ул Детская д.12;Акт и заключение межведомственной комиссии № 37;2010-10-21;4.2015;4.2016;2;2;228.0000;1;48.0000
33;п Привокзальный ул Детская д.14;Акт и заключение межведомственной комиссии № 28;2010-10-21;4.2015;4.2016;9;9;230.0000;6;230.0000
34;п Привокзальный ул Детская д.16;Акт и заключение межведомственной комиссии № 29;2010-10-21;4.2015;4.2016;5;5;225.0000;3;98.9000
35;п Привокзальный ул Набережная д.8;Акт и заключение межведомственной комиссии № 3;2010-05-12;4.2015;4.2016;1;1;141.8000;1;36.0000
36;п Привокзальный ул Свободы д.12;Акт и заключение межведомственной комиссии № 34;2010-10-21;4.2015;4.2016;11;11;184.0000;5;184.0000
37;п Привокзальный ул Свободы д.3;Акт и заключение межведомственной комиссии № 32;2010-10-21;4.2015;4.2016;14;14;178.0000;5;178.0000
38;п Привокзальный ул Свободы д.6;Акт и заключение межведомственной комиссии № 33;2010-10-21;4.2015;4.2016;6;6;136.0000;3;136.0000
39;г Волчанск ул Малая Окружная д.101;Акт и заключение межведомственной комиссии № 8-МК/11;2011-09-28;4.2015;4.2017;2;2;497.9000;2;118.1000
40;г Волчанск ул Малая Окружная д.99;Акт и заключение межведомтсвенной комиссии № 7-МК/11;2011-09-28;4.2015;2.2016;7;7;522.9000;2;140.7000
41;г Волчанск ул Уральского Комсомола д.12;Акт и заключение межведомственной комиссии № 7-МК/08;2008-10-30;4.2015;4.2017;1;1;393.3000;1;46.6000
42;г Волчанск ул Уральского Комсомола д.19;Акт и заключение межведомственной комиссии № 5-МК/08;2008-10-20;4.2015;2.2016;3;3;393.6000;3;138.8000
43;п Лая д.1;Заключение межведомственной комиссии № 15;2009-05-31;4.2015;2.2016;22;22;132.7000;4;132.7000
44;п Леневка ул Центральная д.21;Заключение межведомственной комиссии № 18;2009-05-31;4.2015;2.2016;12;12;160.7000;5;160.7000
45;п Монзино д.1;Заключение межведомственной комиссии № 19;2009-05-31;4.2015;2.2016;6;6;77.5000;2;77.5000
46;п Монзино д.2;Заключение межведомственной комиссии № 20;2009-05-31;4.2015;2.2016;4;4;89.2000;3;89.2000
47;п Новоасбест ул Новая д.11;Заключение межведомственной комиссии № 1;2009-05-31;4.2015;2.2016;21;21;307.2000;6;307.2000
48;п Новоасбест ул Новая д.13;Заключение межведомственной комиссии № 2;2009-05-31;4.2015;2.2016;11;11;320.5000;7;320.5000
49;п Новоасбест ул Новая д.15;Заключение межведомственной комиссии № 3;2009-05-31;4.2015;2.2016;9;9;298.6000;7;298.6000
50;п Первомайский ул Ленина д.19;Заключение межведомственной комиссии № 5;2009-05-31;4.2015;4.2017;4;4;76.0000;2;76.0000
51;п Первомайский ул Новая д.7;Заключение межведомственной комиссии № 1;2010-04-29;4.2015;4.2017;1;1;96.0000;1;76.0000
52;с Лая ул Заречная д.36;Заключение межведомственной комиссии № 14;2009-05-31;4.2015;1.2017;2;2;60.0000;1;60.0000
53;с Лая ул Заречная д.50;Заключение межведомственной комиссии № 16;2009-05-31;4.2015;1.2017;5;5;112.1000;3;112.1000
54;г Нижний Тагил ул Дунайская д.17;Заключение межведомственной комиссии;2010-10-20;4.2015;2.2016;45;45;558.4000;20;541.2000
55;г Нижний Тагил ул Жданова д.37-39;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;1;1;58.6000;1;29.1000
56;г Нижний Тагил ул Красногвардейская д.41;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;16;16;364.6000;7;319.2000
57;г Нижний Тагил ул Красногвардейская д.43;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;18;18;383.8000;7;336.6000
58;г Нижний Тагил ул Красногвардейская д.45;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;12;12;243.2000;4;243.2000
59;г Нижний Тагил ул Красногвардейская д.47;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;26;26;384.0000;8;384.0000
60;г Нижний Тагил ул Красногвардейская д.49;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;21;21;380.9000;8;380.9000
61;г Нижний Тагил ул Красногвардейская д.51;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;40;40;478.5000;15;452.9000
62;г Нижний Тагил ул Красногвардейская д.53;Заключение межведомственной комииссии;2010-04-20;4.2015;2.2016;18;18;377.2000;9;377.2000
63;г Нижний Тагил ул Салтыкова-Щедрина д.1 (3);Заключение межведомственной комиссии;2009-08-17;4.2015;2.2016;3;3;97.1000;1;48.3000
64;г Нижний Тагил ул Тимирязева д.67;Заключение межведомственной комиссии;2010-04-20;4.2015;2.2016;31;31;411.8000;10;396.4000
65;рп Дружинино ул Азина д.48 А;Акт межведомственной комиссии № 10;2009-12-29;4.2015;2.2016;3;3;61.8000;2;61.8000
