Рег. номер маршрута  ;порядковый номер маршрута;наименование маршрута ;наименования промежуточных остановочных пунктов по маршруту регулярных перевозок или наименования поселений, в границах которых расположены промежуточные остановочные пункты ; наименования улиц, автомобильных дорог, по которым предполагается движение транспортных средств между остановочными пунктами по маршруту регулярных перевозок;протяженность маршрута регулярных перевозок, км; порядок посадки и высадки пассажиров (только в установленных остановочных пунктах или, если это не запрещено настоящим Федеральным законом, в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок) ; вид регулярных перевозок (по регулируемым тарифам или по нерегулируемым тарифам);Вид;Класс;Максимальное количество;Экологические характеристики;дата начала осуществления регулярных перевозок ;наименование юридического лица, фамилия, имя и, если имеется, отчество индивидуального предпринимателя;место нахождения ;
1;201;Вологда – Хорошево;Льнокомбинат, Горка, Телецентр, Лоста, Л. Карьер, Огарково, отв. Грибково, Кичигино, Марково, Чернецкое, р. Стеблево, жд.п. Стеблево, Лухта, р. Комья;г. Вологда (ул. Зосимовская, ул. Чехова, ул. Яшина, ул. Герцена, ул. Можайского, Московское шоссе)  АД Вологда-Ростилово ;36;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;20.11.2012;ИП Сенных Алексей Владимирович           ;г. Вологда;
2;202;Вологда – Лоста – Грязовец;Льнокомбинат Горка Телецентр Лоста Л.Карьер Огарково отв. Грибково по требованию АД Вологда-Ростилово Кичигино Марково Чернецкое р. Стеблево Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово;г. Вологда (ул. Зосимовская ул. Чехова ул. Яшина ул. Герцена ул. Можайского ул. Московское шоссе) АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);46,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.04.2014;ИП Водомерова Наталья Сергеевна;г. Вологда;
3;202;Вологда – Лоста – Грязовец;Льнокомбинат Горка Телецентр Лоста Л.Карьер Огарково отв. Грибково по требованию  Кичигино Марково Чернецкое р. Стеблево Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово;г. Вологда (ул. Зосимовская ул. Чехова ул. Яшина ул. Герцена ул. Можайского ул. Московское шоссе) АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);46,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.04.2014;ООО "ВологдаТранс";г. Вологда ул. Старое шоссе, д. 5;
4;201;Вологда – Хорошево;Льнокомбинат, Горка, Телецентр, Лоста, Л. Карьер, Огарково, отв. Грибково, Кичигино, Марково, Чернецкое, р. Стеблево, жд.п. Стеблево, Лухта, р. Комья;г. Вологда (ул. Зосимовская, ул. Чехова, ул. Яшина, ул. Герцена, ул. Можайского, Московское шоссе)  АД Вологда-Ростилово ;36;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.03.2014;ИП Романова Нина Анатольевна ; Вологодская область, Вологодский район ;
5;202;Вологда – Лоста – Грязовец;Льнокомбинат, Горка, Телецентр, Лоста, Л. Карьер, Огарково, о. Грибково, о. Васильевское,  Кичигино, Марково, Чернецкое, Стеблево, Становищево,  Крутец, Волоцкое, Пузово, Слобода, Заря,  Камешник, Мясниково, Пирогово;г. Вологда (ул. Зосимовская, ул. Чехова, ул. Яшина, ул. Герцена, ул. Можайского, Московское шоссе);46,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.04.2014;ИП Романова Нина Анатольевна ; Вологодская область, Вологодский район;
6;203;Вологда – Осаново – Грязовец;Беляева Архангельская Дачи отв. Надеево Кожино Костино Дуравино Чекменево Селезенцево д. Автомобилист - 1 д. Автомобилист-2 Неверовское Михалево Палкино Дьяконово р. Стеблево  с.Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово ;г. Вологда (ул. Зосимовская ул. Чеховва ул. Яшина ул. Герцена ул. Конева)  АД М8 АД Криводино-Шуйское АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);51.0;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.04.2014;ИП Водомерова Наталья Сергеевна;г. Вологда;
7;203;Вологда – Осаново – Грязовец;Беляева Архангельская Дачи отв. Надеево Кожино Костино Дуравино Чекменево Селезенцево д. Автомобилист - 1 д. Автомобилист-2 Неверовское Михалево Палкино Дьяконово р. Стеблево  с.Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово ;г. Вологда (ул. Зосимовская ул. Чеховва ул. Яшина ул. Герцена ул. Конева)  АД М8 АД Криводино-Шуйское АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);51.1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.04.2014;ИП Романова Нина Анатольевна;Вологодская область, Вологодский район;
8;204;Вологда – Кадников;Центр Гоголя Заречье Рыбкино Дорожный Маега Фофанцево Шульгино Северово Оларево Барское 1 Развилка Литега отв. Сокол ;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. С.Орлова ул. Чернышевского ул. Железнодорожная ул. Рыбкино) АД М8 г. Кадников ул. Розы Люксембург;45;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Зенькович Евгений Владиславович;г.Вологда;
9;206;Вологда – Минькино;РСМ, Пригородный, Абрамцево, Непотягово, Можайское,  Пруд, Нагорное, Токарево, Дюково, Перьево, Подгорное, Красково;г. Вологда (пл. Бабушкина путепровод Пошехонское шоссе)  АД Вологда Норобово ;30,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;15.07.2013;ИП Кольцов Григорий Васильевич; г.Вологда;
10;207;Вологда – Панфилово;Беляева ул. Архангельская Дачи отв. Надеево Кожино Костино Дуравино Чекменево Селезенцево д.Автомобилист-1 д.Автомобилист-2 Неверовское Михалево п/л Солнечный Санниково Троицкое Акинфовица Юрово Криводино Коротыгино Панфилово;г. Вологда (ул. Зосимовская ул. Чехова ул. Яшина ул. Конева) АД М8 АД Криводино-Шуйское АД Юрово-Панфилово;46;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Зенькович Евгений Владиславович;г. Вологда;
11;208;Сокол – Литега – Вологда;Махреньга,Лентьево, Ершово,Рабанга,Развилка (сев.подъезд), Литега, Развилка (южн.подъезд), Барское, Шастово, Оларёво, Северово, Шульгино, Фофанцево, Маега, Дорожный, Прилуки; г. Сокол (Базарная площадь-ул. Горького ул. Железнодорожная ул.Бумажников ул. Пл.Свободы ул. Ленинградская) АД подъезд к г. Соколу (северный) АД М8 г. Вологда (ул.Чернышевского-Октябрьский мост ул. С.Орлова ул. Мира пл. Бабушкина);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.02.2014;ООО «Сокольское ПАТП» ; Вологодская область,  город  Сокол, Станционный переулок, д.32;
12;208;Вологда – Литега – Сокол;АВ Вологда, центр, Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Бабино, Литега, отв Сокол, Рабанга, Ершово, Лентьево, Махреньга, АС г. Сокол;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М.Ульяновой ул. С. Орлова, ул. Чернышевского) АД М-8  АД подъезд к г. Соколу (севнрный) г. Сокол (ул. Ленинградская  пл. Свободы  ул. Бумажников ул. Железнодорожная  ул Горького Базарная пл);42,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.04.2014;ИП Алферьева Любовь Валентиновна ; г. Вологда;
13;209;Сокол – Сухона – Вологда ;Лесобаза, Школа № 10, Соколстром, Развилка (южн.подъезд), Барское, Шастово, Оларёво, Северово, Шульгино, Фофанцево, Маега, Дорожный, Прилуки; г. Сокол (40 лет Октября  ул. Советская  ул. Калинина)  АД подъезд к г. Сокол (южн.подъезд) АД М8 г. Вологда (ул.Чернышевского Октябрьский мост ул. С.Орлова  ул. Мира пл. Бабушкина);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.02.2014;ООО «Сокольское ПАТП» ; Вологодская область,  город  Сокол, Станционный переулок, д.32;
14;209;Вологда – Сухона – Сокол ;Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Развилка 1, Соколстром (КДТ), Школа, Лесобаза;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М. Ульяновой, пл. Революции, ул. Лермонтова, ул. Чернышевского), АД М--8 АД подъезд к г. Сокол (южный) г. Сокол (ул. Калинина ул. Советская 40 лет Октября);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.04.2014;ИП Романова Нина Анатольевна; Вологодская область, Вологодский район ;
15;209;Вологда – Сухона – Сокол ;Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Развилка 1, Соколстром (КДТ), Школа, Лесобаза;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М. Ульяновой, пл. Революции, ул. Лермонтова, ул. Чернышевского), АД М--8 АД подъезд к г. Сокол (южный) г. Сокол (ул. Калинина ул. Советская 40 лет Октября);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.04.2014;ИП Войко Лариса Викторовна;г. Вологда;
16;209;Вологда – Сухона – Сокол ;Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Развилка 1, Соколстром (КДТ), Школа, Лесобаза;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М. Ульяновой, пл. Революции, ул. Лермонтова, ул. Чернышевского), АД М--8 АД подъезд к г. Сокол (южный) г. Сокол (ул. Калинина ул. Советская 40 лет Октября);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;13.04.2011;ИП Водомерова Наталья Сергеевна;г. Вологда;
